epoch,loss,sparse_categorical_accuracy
0,2.7696142196655273,0.255776584148407
1,2.361795663833618,0.3195774555206299
2,2.3088772296905518,0.3270125389099121
3,2.276275396347046,0.3317962884902954
4,2.2551040649414062,0.3346075713634491
5,2.246608257293701,0.33581069111824036
6,2.2332091331481934,0.33749526739120483
7,2.2285001277923584,0.33809781074523926
8,2.2267637252807617,0.3383850157260895
9,2.223633289337158,0.3387857973575592
10,2.222705364227295,0.3389005661010742
11,2.2192842960357666,0.3395442068576813
12,2.216855049133301,0.33993640542030334
13,2.2118074893951416,0.34083929657936096
14,2.2077929973602295,0.3415570855140686
15,2.206559658050537,0.34197285771369934
16,2.200615406036377,0.3430746793746948
17,2.1964802742004395,0.3438017964363098
18,2.194000005722046,0.3442575931549072
19,2.191516399383545,0.3446480929851532
20,2.1888699531555176,0.345059335231781
21,2.187525987625122,0.3453052341938019
22,2.1855781078338623,0.3456651568412781
23,2.1844027042388916,0.34581080079078674
24,2.1820027828216553,0.3462863266468048
25,2.181094169616699,0.3464387357234955
26,2.1801483631134033,0.34663474559783936
27,2.180187940597534,0.3465658724308014
28,2.177976608276367,0.34698259830474854
29,2.177757978439331,0.3470436632633209
30,2.1756486892700195,0.3474419414997101
31,2.175880193710327,0.3474299907684326
32,2.1750378608703613,0.3475266098976135
33,2.173670530319214,0.3477477431297302
34,2.173492431640625,0.34785985946655273
35,2.171593427658081,0.3481389582157135
36,2.1709444522857666,0.34824952483177185
37,2.170541763305664,0.3483610153198242
38,2.1695525646209717,0.34851962327957153
39,2.168823480606079,0.3486679494380951
40,2.1705665588378906,0.34849342703819275
41,2.169316291809082,0.3485047519207001
42,2.167830228805542,0.348889023065567
43,2.1674845218658447,0.3489472270011902
44,2.1665260791778564,0.34910982847213745
45,2.1658480167388916,0.3492160737514496
46,2.1650187969207764,0.3493764102458954
47,2.16506290435791,0.349319726228714
48,2.1644082069396973,0.3494488298892975
49,2.1642680168151855,0.34953272342681885
50,2.163546562194824,0.3496245741844177
51,2.1631178855895996,0.34973958134651184
52,2.1627984046936035,0.3498203158378601
53,2.162388324737549,0.3498365581035614
54,2.1623451709747314,0.3499114215373993
55,2.161661148071289,0.34999004006385803
56,2.1610803604125977,0.3501076102256775
57,2.1608328819274902,0.35016465187072754
58,2.1605825424194336,0.3502051830291748
59,2.160271167755127,0.3502650558948517
